id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
176,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,635,UNIT,2025/2026
177,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,23,UNIT,2025/2026
178,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,745,UNIT,2025/2026
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,83,UNIT,2025/2026
180,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,651,UNIT,2025/2026
181,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,20,UNIT,2025/2026
182,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,583,UNIT,2025/2026
183,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,32,UNIT,2025/2026
184,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,823,UNIT,2025/2026
185,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,42,UNIT,2025/2026
186,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,817,UNIT,2025/2026
187,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,51,UNIT,2025/2026
188,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,378,UNIT,2025/2026
189,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,46,UNIT,2025/2026
190,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,852,UNIT,2025/2026
191,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,117,UNIT,2025/2026
192,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,715,UNIT,2025/2026
193,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,375,UNIT,2025/2026
194,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,633,UNIT,2025/2026
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,72,UNIT,2025/2026
196,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,282,UNIT,2025/2026
197,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,5,UNIT,2025/2026
198,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,197,UNIT,2025/2026
199,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,74,UNIT,2025/2026
200,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,98,UNIT,2025/2026
201,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,29,UNIT,2025/2026
202,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,270,UNIT,2025/2026
203,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,213,UNIT,2025/2026
204,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,126,UNIT,2025/2026
205,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,41,UNIT,2025/2026
206,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,315,UNIT,2025/2026
207,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,311,UNIT,2025/2026
208,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,206,UNIT,2025/2026
209,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,224,UNIT,2025/2026
210,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,91,UNIT,2025/2026
211,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,28,UNIT,2025/2026
212,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,186,UNIT,2025/2026
213,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,38,UNIT,2025/2026
214,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,82,UNIT,2025/2026
215,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,6,UNIT,2025/2026
