id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,81,UNIT,2018/2019
136,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,27,UNIT,2018/2019
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,89,UNIT,2018/2019
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,76,UNIT,2018/2019
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,95,UNIT,2018/2019
140,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,242,UNIT,2018/2019
141,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,67,UNIT,2018/2019
142,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,103,UNIT,2018/2019
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,37,UNIT,2018/2019
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,16,UNIT,2018/2019
145,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,20,UNIT,2018/2019
146,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,101,UNIT,2018/2019
147,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,16,UNIT,2018/2019
148,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,28,UNIT,2018/2019
149,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,57,UNIT,2018/2019
150,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,189,UNIT,2018/2019
151,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,18,UNIT,2018/2019
152,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,26,UNIT,2018/2019
153,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,49,UNIT,2018/2019
154,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,227,UNIT,2018/2019
155,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,26,UNIT,2018/2019
156,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,196,UNIT,2018/2019
157,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,11,UNIT,2018/2019
158,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,25,UNIT,2018/2019
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,21,UNIT,2018/2019
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,52,UNIT,2018/2019
161,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,10,UNIT,2018/2019
162,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,15,UNIT,2018/2019
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,103,UNIT,2019/2020
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,610,UNIT,2019/2020
165,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,162,UNIT,2019/2020
166,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,188,UNIT,2019/2020
167,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,152,UNIT,2019/2020
168,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,198,UNIT,2019/2020
169,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,77,UNIT,2019/2020
170,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,259,UNIT,2019/2020
171,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,145,UNIT,2019/2020
172,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,257,UNIT,2019/2020
173,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,137,UNIT,2019/2020
174,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,131,UNIT,2019/2020
175,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,80,UNIT,2019/2020
176,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,48,UNIT,2019/2020
177,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,79,UNIT,2019/2020
178,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,29,UNIT,2019/2020
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,80,UNIT,2019/2020
180,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,119,UNIT,2019/2020
181,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,79,UNIT,2019/2020
182,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,35,UNIT,2019/2020
183,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,72,UNIT,2019/2020
184,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,50,UNIT,2019/2020
185,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,90,UNIT,2019/2020
186,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,122,UNIT,2019/2020
187,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,77,UNIT,2019/2020
188,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,93,UNIT,2019/2020
189,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,78,UNIT,2019/2020
190,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,28,UNIT,2019/2020
191,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,89,UNIT,2019/2020
192,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,88,UNIT,2019/2020
193,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,98,UNIT,2019/2020
194,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,240,UNIT,2019/2020
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,67,UNIT,2019/2020
196,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,111,UNIT,2019/2020
197,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,37,UNIT,2019/2020
198,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,15,UNIT,2019/2020
199,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,20,UNIT,2019/2020
200,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,104,UNIT,2019/2020
201,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,16,UNIT,2019/2020
202,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,30,UNIT,2019/2020
203,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,62,UNIT,2019/2020
204,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,191,UNIT,2019/2020
205,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,18,UNIT,2019/2020
206,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,28,UNIT,2019/2020
207,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,49,UNIT,2019/2020
