id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
165,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,27,UNIT,2019/2020
166,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,56,UNIT,2019/2020
167,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,18,UNIT,2019/2020
168,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,76,UNIT,2019/2020
169,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,19,UNIT,2019/2020
170,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,90,UNIT,2019/2020
171,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,32,UNIT,2019/2020
172,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,94,UNIT,2019/2020
173,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,18,UNIT,2019/2020
174,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,50,UNIT,2019/2020
175,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,17,UNIT,2019/2020
176,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,12,UNIT,2019/2020
177,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,19,UNIT,2019/2020
178,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,10,UNIT,2019/2020
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,21,UNIT,2019/2020
180,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,26,UNIT,2019/2020
181,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,16,UNIT,2019/2020
182,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,6,UNIT,2019/2020
183,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,15,UNIT,2019/2020
184,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,12,UNIT,2019/2020
185,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,23,UNIT,2019/2020
186,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,29,UNIT,2019/2020
187,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,20,UNIT,2019/2020
188,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,29,UNIT,2019/2020
189,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,17,UNIT,2019/2020
190,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,9,UNIT,2019/2020
191,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,30,UNIT,2019/2020
192,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,19,UNIT,2019/2020
193,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,44,UNIT,2019/2020
194,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,77,UNIT,2019/2020
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,17,UNIT,2019/2020
196,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,44,UNIT,2019/2020
197,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,5,UNIT,2019/2020
198,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,3,UNIT,2019/2020
199,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,10,UNIT,2019/2020
200,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,44,UNIT,2019/2020
201,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,5,UNIT,2019/2020
202,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,14,UNIT,2019/2020
203,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,27,UNIT,2019/2020
204,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,111,UNIT,2019/2020
205,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,9,UNIT,2019/2020
206,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,17,UNIT,2019/2020
207,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,22,UNIT,2019/2020
208,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,87,UNIT,2019/2020
209,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,16,UNIT,2019/2020
210,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,49,UNIT,2019/2020
211,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,6,UNIT,2019/2020
212,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,10,UNIT,2019/2020
213,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,10,UNIT,2019/2020
214,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,17,UNIT,2019/2020
215,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,3,UNIT,2019/2020
216,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,2,UNIT,2019/2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,45,UNIT,2020/2021
218,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,147,UNIT,2020/2021
219,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,27,UNIT,2020/2021
220,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,56,UNIT,2020/2021
