lat,lon,kecamatan,kepadatan_penduduk,jumlah_sekolah_500m,jumlah_pasar_1km,jumlah_kampus_1km,jumlah_restoran_500m,jumlah_kafe_500m,jumlah_halte_500m,jumlah_kompetitor_500m,success_score,kategori
-6.94,107.57399999999998,bandung kulon,21397.0,2,0,0,0,0,0,0,26.27694855967808,Rendah
-6.94,107.58199999999998,bojongloa kaler,41501.0,5,1,0,0,0,1,0,37.479028216767745,Rendah
-6.94,107.58999999999997,bojongloa kaler,41501.0,8,2,2,0,0,0,0,50.960753138111954,Sedang
-6.94,107.59799999999997,astanaanyar,25563.0,1,1,3,1,0,0,1,35.49753135755094,Rendah
-6.94,107.60599999999997,astanaanyar,25563.0,8,3,0,3,0,0,3,33.89563255380808,Rendah
-6.94,107.61399999999996,regol,18941.0,2,4,2,2,0,0,2,41.751246221322845,Sedang
-6.94,107.62199999999996,regol,18941.0,4,2,7,16,6,0,22,53.57857687583811,Sedang
-6.94,107.63799999999995,batununggal,24339.0,2,1,2,1,0,0,1,29.193504302282452,Rendah
-6.94,107.64599999999994,batununggal,24339.0,10,1,4,0,0,0,0,51.73004959947497,Sedang
-6.94,107.65399999999994,rancasari,12071.0,3,0,2,0,0,0,0,18.500557922734274,Rendah
-6.94,107.66199999999994,rancasari,12071.0,3,1,1,3,0,0,3,24.66668239251192,Rendah
-6.94,107.66999999999993,rancasari,12071.0,0,1,0,2,0,0,2,22.077477988541048,Rendah
-6.94,107.68599999999992,gedebage,4530.0,0,0,0,0,1,1,1,7.717773477858352,Rendah
-6.94,107.69399999999992,gedebage,4530.0,0,2,0,0,0,0,0,13.815620761929589,Rendah
-6.94,107.70199999999991,gedebage,4530.0,0,3,3,0,0,0,0,27.006239704318073,Rendah
-6.94,107.70999999999991,panyileukan,8153.0,2,2,5,0,0,0,0,32.87745415124604,Rendah
-6.94,107.7179999999999,panyileukan,8153.0,0,0,4,0,0,0,0,25.735133368862535,Rendah
-6.932,107.55,bandung kulon,21397.0,0,0,0,0,0,1,0,15.700311081043907,Rendah
-6.932,107.55799999999999,bandung kulon,21397.0,0,1,0,0,0,0,0,21.30799951412777,Rendah
-6.932,107.56599999999999,bandung kulon,21397.0,0,1,0,0,0,0,0,17.128949519520816,Rendah
-6.932,107.58199999999998,bojongloa kaler,41501.0,1,2,0,0,0,0,0,32.7063512341024,Rendah
-6.932,107.58999999999997,bojongloa kaler,41501.0,7,1,0,0,1,0,1,36.989926562494084,Rendah
-6.932,107.59799999999997,astanaanyar,25563.0,6,3,0,0,0,0,0,36.642218318775676,Rendah
-6.932,107.61399999999996,regol,18941.0,3,5,2,9,4,0,13,45.405157581590174,Sedang
-6.932,107.62199999999996,lengkong,12174.0,5,4,5,7,3,0,10,55.184761596180614,Sedang
-6.932,107.62999999999995,batununggal,24339.0,0,2,3,1,1,0,2,31.999216962982985,Rendah
-6.932,107.63799999999995,batununggal,24339.0,2,0,1,1,3,0,4,25.175568242263587,Rendah
-6.932,107.64599999999994,kiaracondong,21619.0,4,1,1,0,0,0,0,28.790203938300827,Rendah
-6.932,107.65399999999994,kiaracondong,21619.0,1,0,2,0,0,0,0,28.35602417088749,Rendah
-6.932,107.66199999999994,antapani,21539.0,0,1,1,0,0,0,0,20.255258978476867,Rendah
-6.932,107.66999999999993,antapani,21539.0,0,0,0,0,0,0,0,13.004741271858283,Rendah
-6.932,107.67799999999993,antapani,21539.0,5,0,0,0,0,0,0,23.5319358079618,Rendah
-6.932,107.68599999999992,cinambo,7126.0,0,0,0,0,0,0,0,9.849842908588446,Rendah
-6.932,107.69399999999992,cinambo,7126.0,0,2,0,0,0,0,0,15.710367439926518,Rendah
-6.932,107.70199999999991,cinambo,7126.0,0,2,2,0,0,0,0,23.998233517379816,Rendah
-6.932,107.70999999999991,panyileukan,8153.0,0,0,5,0,0,0,0,27.489370279708975,Rendah
-6.932,107.7179999999999,panyileukan,8153.0,2,0,3,2,2,1,4,26.826205535927457,Rendah
-6.924,107.55,bandung kulon,21397.0,0,0,0,0,0,0,0,17.766439642118268,Rendah
-6.924,107.55799999999999,bandung kulon,21397.0,0,1,0,0,0,0,0,17.74416796814312,Rendah
-6.924,107.57399999999998,bojongloa kaler,41501.0,2,1,0,0,0,0,0,34.477609873846475,Rendah
-6.924,107.58999999999997,bojongloa kaler,41501.0,10,6,0,0,0,0,0,55.02577193701261,Sedang
-6.924,107.59799999999997,astanaanyar,25563.0,15,4,0,6,0,0,6,40.6776216559847,Rendah
-6.924,107.60599999999997,sumur bandung,11671.0,14,5,1,40,12,1,52,54.84514270011624,Sedang
-6.924,107.61399999999996,sumur bandung,11671.0,2,5,2,18,5,0,23,46.659675625911106,Sedang
-6.924,107.62199999999996,lengkong,12174.0,13,2,3,13,8,0,21,41.701286378278205,Sedang
-6.924,107.62999999999995,lengkong,12174.0,1,0,3,6,2,0,8,29.8534617210663,Rendah
-6.924,107.63799999999995,kiaracondong,21619.0,2,1,2,32,7,0,39,42.34889833636506,Sedang
-6.924,107.64599999999994,kiaracondong,21619.0,0,1,1,1,0,0,1,26.87673603553903,Rendah
-6.924,107.65399999999994,kiaracondong,21619.0,6,0,1,0,0,0,0,32.700934503517395,Rendah
-6.924,107.66199999999994,antapani,21539.0,0,0,0,0,1,0,1,16.1299467631025,Rendah
-6.924,107.66999999999993,antapani,21539.0,2,0,0,0,3,0,3,16.40490261803864,Rendah
-6.924,107.67799999999993,antapani,21539.0,1,0,0,0,1,0,1,15.19756782223454,Rendah
-6.924,107.68599999999992,cinambo,7126.0,0,0,0,0,0,0,0,6.511458033992573,Rendah
-6.924,107.70199999999991,cinambo,7126.0,0,0,0,0,1,0,1,9.88234481333882,Rendah
-6.924,107.70999999999991,panyileukan,8153.0,2,0,0,2,1,0,3,13.059516842434501,Rendah
-6.924,107.7179999999999,panyileukan,8153.0,6,0,1,0,0,0,0,22.010994191552516,Rendah
-6.916,107.55,bandung kulon,21397.0,0,0,0,0,0,0,0,16.926227897855945,Rendah
-6.916,107.55799999999999,andir,26760.0,0,0,0,0,0,0,0,24.227268898138618,Rendah
-6.916,107.57399999999998,andir,26760.0,3,0,1,0,0,1,0,37.02717416643552,Rendah
-6.916,107.58199999999998,andir,26760.0,6,4,1,0,0,0,0,43.74366870996168,Sedang
-6.916,107.58999999999997,andir,26760.0,8,5,0,4,4,1,8,43.49519399741782,Sedang
-6.916,107.59799999999997,cicendo,14180.0,10,6,0,20,6,0,26,42.06510028359443,Sedang
-6.916,107.60599999999997,sumur bandung,11671.0,3,3,4,33,32,1,65,52.93130613461845,Sedang
-6.916,107.62199999999996,bandung wetan,8628.0,1,1,0,4,6,0,10,16.935334815609608,Rendah
-6.916,107.63799999999995,cibeunying kidul,21862.0,1,2,3,4,2,0,6,37.32706881758494,Rendah
-6.916,107.64599999999994,kiaracondong,21619.0,0,2,4,2,1,0,3,37.170174401350344,Rendah
-6.916,107.65399999999994,antapani,21539.0,6,0,2,0,0,0,0,26.421569437053517,Rendah
-6.916,107.66199999999994,antapani,21539.0,2,0,0,3,0,1,3,20.826566254910052,Rendah
-6.916,107.67799999999993,arcamanik,14043.0,0,0,0,1,0,0,1,13.84394789905728,Rendah
-6.916,107.68599999999992,arcamanik,14043.0,0,0,0,0,1,0,1,8.964450330530703,Rendah
-6.916,107.69399999999992,cinambo,7126.0,1,1,0,0,0,0,0,13.478431666442438,Rendah
-6.916,107.70199999999991,cinambo,7126.0,0,1,0,1,1,1,2,15.414841028075397,Rendah
-6.916,107.70999999999991,panyileukan,8153.0,4,1,0,2,1,0,3,14.577872135841048,Rendah
-6.916,107.7179999999999,panyileukan,8153.0,4,0,0,0,0,0,0,13.990619762281028,Rendah
-6.908,107.55,andir,26760.0,0,0,0,0,0,0,0,20.041292822004667,Rendah
-6.908,107.55799999999999,andir,26760.0,0,0,0,0,0,0,0,16.4377557731748,Rendah
-6.908,107.56599999999999,andir,26760.0,0,0,0,0,0,0,0,20.940028747711516,Rendah
-6.908,107.57399999999998,andir,26760.0,1,0,8,0,0,0,0,42.54902024577137,Sedang
-6.908,107.58999999999997,andir,26760.0,2,4,4,4,1,0,5,54.528072822771385,Sedang
-6.908,107.59799999999997,cicendo,14180.0,11,2,9,31,9,0,40,55.74476967390652,Sedang
-6.908,107.60599999999997,cicendo,14180.0,4,0,10,12,8,0,20,38.06430265803241,Rendah
-6.908,107.61399999999996,bandung wetan,8628.0,6,1,10,46,15,0,61,50.338439134959316,Sedang
-6.908,107.62199999999996,bandung wetan,8628.0,14,2,4,26,14,0,40,52.33469118606996,Sedang
-6.908,107.62999999999995,cibeunying kidul,21862.0,9,1,0,17,5,0,22,36.9906986144737,Rendah
-6.908,107.63799999999995,cibeunying kidul,21862.0,0,2,3,0,0,0,0,46.70375002751972,Sedang
-6.908,107.64599999999994,cibeunying kidul,21862.0,5,2,3,1,0,0,1,42.258227087635056,Sedang
-6.908,107.65399999999994,antapani,21539.0,5,1,2,3,0,0,3,37.57280803165291,Rendah
-6.908,107.68599999999992,arcamanik,14043.0,1,0,0,0,0,0,0,16.07857432814647,Rendah
-6.908,107.70199999999991,ujungberung,14540.0,0,1,0,0,0,0,0,15.367321957557753,Rendah
-6.908,107.70999999999991,ujungberung,14540.0,0,0,0,0,0,0,0,11.621687134290466,Rendah
-6.908,107.7179999999999,cibiru,12370.0,0,0,0,0,0,0,0,12.117844640381191,Rendah
-6.9,107.55,sukasari,12484.0,0,0,0,0,0,0,0,18.879531255576083,Rendah
-6.9,107.55799999999999,sukasari,12484.0,0,0,0,0,0,0,0,6.333759977780312,Rendah
-6.9,107.56599999999999,andir,26760.0,2,0,0,0,0,0,0,23.92544723779021,Rendah
-6.9,107.57399999999998,andir,26760.0,0,0,3,0,0,0,0,27.02851905309771,Rendah
-6.9,107.58199999999998,andir,26760.0,2,0,8,1,0,0,1,40.850871069298364,Rendah
-6.9,107.58999999999997,cicendo,14180.0,3,1,6,5,1,3,6,50.04462956867988,Sedang
-6.9,107.59799999999997,cicendo,14180.0,4,1,7,18,3,0,21,46.970617835064175,Sedang
-6.9,107.61399999999996,bandung wetan,8628.0,4,4,16,39,16,0,55,53.64742220555343,Sedang
-6.9,107.62999999999995,cibeunying kaler,15926.0,7,2,8,3,0,0,3,45.85667788262637,Sedang
-6.9,107.63799999999995,cibeunying kaler,15926.0,6,0,13,8,0,0,8,43.6971535465237,Sedang
-6.9,107.64599999999994,cibeunying kaler,15926.0,5,0,9,4,1,0,5,40.48449329748922,Rendah
-6.9,107.65399999999994,mandalajati,11398.0,0,1,1,5,1,2,6,22.277421179404772,Rendah
-6.9,107.66199999999994,mandalajati,11398.0,0,1,0,0,0,0,0,20.764054490198202,Rendah
-6.9,107.66999999999993,mandalajati,11398.0,0,0,0,0,0,0,0,13.233979289176256,Rendah
-6.9,107.67799999999993,mandalajati,11398.0,0,0,0,0,0,0,0,5.256794462249401,Rendah
-6.9,107.69399999999992,arcamanik,14043.0,0,0,0,0,0,0,0,10.816307272361502,Rendah
-6.9,107.70199999999991,ujungberung,14540.0,0,0,0,0,0,0,0,15.63507778216645,Rendah
-6.9,107.70999999999991,ujungberung,14540.0,0,0,0,0,0,0,0,10.700215562479675,Rendah
-6.9,107.7179999999999,cibiru,12370.0,0,0,0,0,0,0,0,11.528012897821526,Rendah
-6.892,107.55,sukasari,12484.0,0,0,0,0,0,0,0,13.450517392496927,Rendah
-6.892,107.55799999999999,sukasari,12484.0,1,0,0,1,0,1,1,17.932821138065922,Rendah
-6.892,107.56599999999999,sukasari,12484.0,0,0,0,0,0,0,0,8.334666334388228,Rendah
-6.892,107.57399999999998,sukasari,12484.0,0,1,1,1,0,0,1,18.33205184803271,Rendah
-6.892,107.58999999999997,sukajadi,24216.0,3,0,1,8,2,2,10,30.493345635612197,Rendah
-6.892,107.59799999999997,sukajadi,24216.0,1,1,2,33,13,0,46,46.14969605417663,Sedang
-6.892,107.60599999999997,sukajadi,24216.0,9,1,7,38,14,1,52,63.66827846621621,Sedang
-6.892,107.62199999999996,coblong,15901.0,7,4,8,5,1,2,6,61.48747473005323,Sedang
-6.892,107.62999999999995,cibeunying kaler,15926.0,9,2,6,1,0,0,1,55.61424636881568,Sedang
-6.892,107.63799999999995,cibeunying kaler,15926.0,4,0,11,1,3,0,4,41.04517355943121,Sedang
-6.892,107.64599999999994,cibeunying kaler,15926.0,2,0,4,0,0,0,0,27.28966787991574,Rendah
-6.892,107.65399999999994,cibeunying kaler,15926.0,0,0,0,0,0,0,0,12.395075559179025,Rendah
-6.892,107.66199999999994,mandalajati,11398.0,0,0,0,0,0,0,0,15.132955669782092,Rendah
-6.892,107.66999999999993,mandalajati,11398.0,0,0,0,0,0,0,0,9.20921382536588,Rendah
-6.892,107.67799999999993,mandalajati,11398.0,0,0,0,0,0,0,0,12.663680506660908,Rendah
